capa_id,nc_id,opened_date,due_date,closed_date,root_cause_category,effectiveness_check_date,effective,description
CAPA-0001,NC-00005,2024-01-04,2024-03-04,2024-02-21,Machine / equipment,2024-05-21,Yes,
CAPA-0002,NC-00008,2024-01-04,2024-02-03,2024-02-20,Material / supplier,2024-05-20,Yes,
CAPA-0003,NC-00002,2024-01-07,2024-03-07,2024-03-05,Procedure / method,2024-06-03,Yes,
CAPA-0004,NC-00003,2024-01-07,2024-02-06,2024-03-27,Training / human error,2024-06-25,Yes,
CAPA-0005,NC-00012,2024-01-13,2024-03-13,2024-02-06,Training / human error,2024-05-06,No,
CAPA-0006,NC-00029,2024-01-21,2024-03-21,2024-02-04,Procedure / method,2024-05-04,Yes,
CAPA-0007,NC-00047,2024-02-09,2024-03-10,2024-03-17,Material / supplier,2024-06-15,Yes,
CAPA-0008,NC-00050,2024-02-17,2024-04-17,2024-03-25,Training / human error,2024-06-23,No,
CAPA-0009,NC-00056,2024-02-25,2024-04-25,2024-03-11,Training / human error,2024-06-09,Yes,
CAPA-0010,NC-00065,2024-03-01,2024-04-30,2024-04-17,Machine / equipment,2024-07-16,Yes,
CAPA-0011,NC-00069,2024-03-05,2024-05-04,2024-05-31,Material / supplier,2024-08-29,Yes,
CAPA-0012,NC-00072,2024-03-09,2024-05-08,2024-05-01,Training / human error,2024-07-30,Yes,
CAPA-0013,NC-00076,2024-03-14,2024-05-13,2024-03-30,Training / human error,2024-06-28,Yes,
CAPA-0014,NC-00078,2024-03-17,2024-05-16,2024-06-18,Training / human error,2024-09-16,No,
CAPA-0015,NC-00083,2024-03-19,2024-04-18,2024-05-07,Material / supplier,2024-08-05,Yes,
CAPA-0016,NC-00085,2024-03-28,2024-05-27,2024-05-05,Material / supplier,2024-08-03,Yes,
CAPA-0017,NC-00095,2024-03-29,2024-04-28,2024-05-08,Material / supplier,2024-08-06,Yes,
CAPA-0018,NC-00093,2024-04-02,2024-06-01,2024-06-27,Training / human error,2024-09-25,No,
CAPA-0019,NC-00113,2024-04-20,2024-06-19,2024-06-04,Machine / equipment,2024-09-02,No,
CAPA-0020,NC-00120,2024-04-26,2024-06-25,2024-07-19,Machine / equipment,2024-10-17,Yes,
CAPA-0021,NC-00124,2024-04-28,2024-06-27,2024-06-20,Machine / equipment,2024-09-18,Yes,
CAPA-0022,NC-00127,2024-04-30,2024-06-29,2024-06-29,Material / supplier,2024-09-27,No,
CAPA-0023,NC-00128,2024-05-03,2024-07-02,2024-09-08,Procedure / method,2024-12-07,Yes,
CAPA-0024,NC-00129,2024-05-03,2024-07-02,2024-05-22,Training / human error,2024-08-20,No,
CAPA-0025,NC-00135,2024-05-06,2024-07-05,2024-07-09,Material / supplier,2024-10-07,Yes,
CAPA-0026,NC-00136,2024-05-08,2024-07-07,2024-06-17,Procedure / method,2024-09-15,Yes,
CAPA-0027,NC-00140,2024-05-10,2024-07-09,2024-08-20,Material / supplier,2024-11-18,Yes,
CAPA-0028,NC-00141,2024-05-11,2024-07-10,2024-06-26,Procedure / method,2024-09-24,Yes,
CAPA-0029,NC-00144,2024-05-19,2024-06-18,2024-07-10,Procedure / method,2024-10-08,No,
