week_start,units_tested,units_failed
2024-01-01,439,9
2024-01-08,406,10
2024-01-15,420,20
2024-01-22,439,19
2024-01-29,402,11
2024-02-05,370,9
2024-02-12,418,11
2024-02-19,421,8
2024-02-26,432,10
2024-03-04,396,14
2024-03-11,420,12
2024-03-18,435,11
2024-03-25,420,9
2024-04-01,426,10
2024-04-08,409,13
2024-04-15,413,11
2024-04-22,426,12
2024-04-29,396,8
2024-05-06,414,17
2024-05-13,402,8
2024-05-20,447,8
2024-05-27,452,8
2024-06-03,423,14
2024-06-10,428,10
2024-06-17,415,5
2024-06-24,447,11
2024-07-01,409,5
2024-07-08,412,7
2024-07-15,416,14
2024-07-22,411,12
2024-07-29,411,12
2024-08-05,453,16
2024-08-12,440,10
2024-08-19,441,12
2024-08-26,439,13
2024-09-02,402,9
2024-09-09,399,15
2024-09-16,424,9
2024-09-23,467,19
2024-09-30,421,15
2024-10-07,435,10
2024-10-14,448,16
2024-10-21,381,10
2024-10-28,467,15
2024-11-04,431,12
2024-11-11,414,5
2024-11-18,443,12
2024-11-25,419,12
2024-12-02,418,11
2024-12-09,399,9
2024-12-16,437,13
2024-12-23,391,12
2024-12-30,448,16
2025-01-06,372,4
2025-01-13,404,7
2025-01-20,424,11
2025-01-27,397,4
2025-02-03,408,10
2025-02-10,441,12
2025-02-17,400,5
2025-02-24,445,10
2025-03-03,409,11
2025-03-10,439,15
2025-03-17,439,13
2025-03-24,448,12
2025-03-31,428,7
2025-04-07,430,14
2025-04-14,440,13
2025-04-21,446,8
2025-04-28,402,15
2025-05-05,413,10
2025-05-12,429,10
2025-05-19,394,13
2025-05-26,413,10
2025-06-02,402,19
2025-06-09,417,25
2025-06-16,425,16
2025-06-23,437,18
2025-06-30,393,26
2025-07-07,406,25
2025-07-14,427,21
2025-07-21,448,11
2025-07-28,388,10
2025-08-04,442,8
2025-08-11,380,10
2025-08-18,400,8
2025-08-25,393,11
2025-09-01,429,18
2025-09-08,461,12
2025-09-15,414,6
2025-09-22,436,11
2025-09-29,417,8
2025-10-06,422,9
2025-10-13,434,12
2025-10-20,455,6
2025-10-27,395,11
2025-11-03,455,6
2025-11-10,398,8
2025-11-17,436,13
2025-11-24,402,4
2025-12-01,418,7
2025-12-08,409,8
2025-12-15,449,7
2025-12-22,414,5
2025-12-29,392,11
