capa_id,nc_id,severity,root_cause_category,opened_date,opened_year,due_date,closed_date,state,days_to_close,timeliness,age_days,effective
CAPA-0001,NC-00005,Major,Machine / equipment,2024-01-04,2024,2024-03-04,2024-02-21,Closed,48.0,Closed on time,727,Yes
CAPA-0002,NC-00008,Critical,Material / supplier,2024-01-04,2024,2024-02-03,2024-02-20,Closed,47.0,Closed late,727,Yes
CAPA-0003,NC-00002,Major,Procedure / method,2024-01-07,2024,2024-03-07,2024-03-05,Closed,58.0,Closed on time,724,Yes
CAPA-0004,NC-00003,Critical,Training / human error,2024-01-07,2024,2024-02-06,2024-03-27,Closed,80.0,Closed late,724,Yes
CAPA-0005,NC-00012,Major,Training / human error,2024-01-13,2024,2024-03-13,2024-02-06,Closed,24.0,Closed on time,718,No
CAPA-0006,NC-00029,Major,Procedure / method,2024-01-21,2024,2024-03-21,2024-02-04,Closed,14.0,Closed on time,710,Yes
CAPA-0007,NC-00047,Critical,Material / supplier,2024-02-09,2024,2024-03-10,2024-03-17,Closed,37.0,Closed late,691,Yes
CAPA-0008,NC-00050,Major,Training / human error,2024-02-17,2024,2024-04-17,2024-03-25,Closed,37.0,Closed on time,683,No
CAPA-0009,NC-00056,Major,Training / human error,2024-02-25,2024,2024-04-25,2024-03-11,Closed,15.0,Closed on time,675,Yes
CAPA-0010,NC-00065,Major,Machine / equipment,2024-03-01,2024,2024-04-30,2024-04-17,Closed,47.0,Closed on time,670,Yes
CAPA-0011,NC-00069,Major,Material / supplier,2024-03-05,2024,2024-05-04,2024-05-31,Closed,87.0,Closed late,666,Yes
CAPA-0012,NC-00072,Major,Training / human error,2024-03-09,2024,2024-05-08,2024-05-01,Closed,53.0,Closed on time,662,Yes
CAPA-0013,NC-00076,Minor,Training / human error,2024-03-14,2024,2024-05-13,2024-03-30,Closed,16.0,Closed on time,657,Yes
CAPA-0014,NC-00078,Minor,Training / human error,2024-03-17,2024,2024-05-16,2024-06-18,Closed,93.0,Closed late,654,No
CAPA-0015,NC-00083,Critical,Material / supplier,2024-03-19,2024,2024-04-18,2024-05-07,Closed,49.0,Closed late,652,Yes
CAPA-0016,NC-00085,Major,Material / supplier,2024-03-28,2024,2024-05-27,2024-05-05,Closed,38.0,Closed on time,643,Yes
CAPA-0017,NC-00095,Critical,Material / supplier,2024-03-29,2024,2024-04-28,2024-05-08,Closed,40.0,Closed late,642,Yes
CAPA-0018,NC-00093,Major,Training / human error,2024-04-02,2024,2024-06-01,2024-06-27,Closed,86.0,Closed late,638,No
CAPA-0019,NC-00113,Major,Machine / equipment,2024-04-20,2024,2024-06-19,2024-06-04,Closed,45.0,Closed on time,620,No
CAPA-0020,NC-00120,Major,Machine / equipment,2024-04-26,2024,2024-06-25,2024-07-19,Closed,84.0,Closed late,614,Yes
