clause,clause_title,n_findings,n_audits,n_major,n_minor,n_observation,n_open
7.6,Control of monitoring and measuring equipment,20,11,3,6,11,0
8.5.2,Corrective action,12,6,0,4,8,3
4.2.5,Control of records,11,7,2,3,6,0
8.3,Control of nonconforming product,9,7,0,6,3,0
7.4,Purchasing,8,6,0,5,3,0
7.5.1,Control of production and service provision,8,4,0,2,6,0
6.2,Human resources,5,4,0,2,3,1
4.2.4,Control of documents,4,4,0,1,3,1
5.6,Management review,3,2,0,2,1,0
8.2.4,Internal audit,3,2,0,1,2,0
7.5.6,Validation of processes for production and service provision,2,2,0,1,1,0
8.2.2,Complaint handling,2,2,0,1,1,0
