month,n_nc,n_major_critical,cost_eur
2024-01,41,15,29422.39
2024-02,23,8,16057.39
2024-03,32,8,22701.58
2024-04,35,6,23139.9
2024-05,35,14,34268.5
2024-06,30,7,18013.19
2024-07,27,7,20128.14
2024-08,46,18,35938.23
2024-09,37,12,40252.58
2024-10,50,12,36592.54
2024-11,29,7,21972.96
2024-12,28,5,16101.99
2025-01,38,11,34009.39
2025-02,41,14,27082.84
2025-03,35,8,19234.09
2025-04,35,4,25837.13
2025-05,25,10,18114.05
2025-06,54,17,53608.04
2025-07,45,16,42583.11
2025-08,34,12,23850.66
2025-09,33,9,21882.34
2025-10,36,12,20897.08
2025-11,31,12,33990.29
2025-12,34,13,21903.63
