supplier_id,quarter,n_nc,cost_eur
S01,2024-Q1,1,532.61
S01,2024-Q2,2,3879.9
S01,2024-Q3,2,1971.7
S01,2024-Q4,1,274.5
S01,2025-Q2,1,921.61
S01,2025-Q3,2,3547.98
S01,2025-Q4,2,1927.86
S02,2024-Q1,3,3663.91
S02,2024-Q2,1,1112.37
S02,2024-Q3,1,2079.09
S02,2025-Q1,3,3267.48
S02,2025-Q2,1,450.8
S02,2025-Q3,2,1727.68
S02,2025-Q4,2,917.82
S03,2024-Q1,1,361.69
S03,2024-Q2,1,289.61
S03,2024-Q3,1,647.49
S03,2024-Q4,1,640.94
S03,2025-Q1,3,3235.71
S03,2025-Q3,3,3015.38
S04,2024-Q2,1,508.27
S04,2024-Q3,2,1988.86
S04,2024-Q4,4,3252.78
S04,2025-Q1,1,123.91
S04,2025-Q2,1,632.55
S04,2025-Q4,2,2586.63
S05,2024-Q1,1,395.38
S05,2024-Q2,2,992.17
S05,2024-Q3,6,13462.41
S05,2024-Q4,3,2105.69
S05,2025-Q1,3,3412.07
S05,2025-Q2,1,182.29
S05,2025-Q3,2,578.72
S05,2025-Q4,1,904.84
S06,2024-Q3,2,956.36
S06,2024-Q4,1,356.96
S06,2025-Q1,2,827.0
S06,2025-Q2,2,1653.32
S06,2025-Q3,4,8850.72
S06,2025-Q4,2,13208.97
S07,2024-Q1,2,2106.25
S07,2024-Q2,2,986.95
S07,2024-Q3,1,631.7
S07,2024-Q4,1,966.53
S07,2025-Q1,1,312.18
S07,2025-Q2,24,36169.27
S07,2025-Q3,14,19460.59
S08,2024-Q2,3,3633.87
S08,2024-Q3,1,543.32
S08,2024-Q4,3,2282.86
S08,2025-Q1,1,474.86
S08,2025-Q2,2,2212.64
S08,2025-Q4,2,1829.76
S09,2024-Q2,4,3425.7
S09,2024-Q3,2,2913.21
S09,2024-Q4,1,2101.21
S09,2025-Q1,1,876.27
S09,2025-Q2,3,6906.37
S09,2025-Q3,2,4712.3
S09,2025-Q4,3,3359.01
S10,2024-Q1,1,1631.14
S10,2024-Q3,1,631.57
S10,2024-Q4,1,2603.39
S10,2025-Q1,1,417.8
S10,2025-Q3,2,1886.45
S10,2025-Q4,2,1662.05
S11,2024-Q2,2,1822.86
S11,2024-Q3,1,8263.81
S11,2024-Q4,3,2958.45
S11,2025-Q1,1,2505.92
S11,2025-Q2,1,825.11
S11,2025-Q3,2,7281.13
S11,2025-Q4,2,1269.92
S12,2024-Q1,1,4520.63
S12,2024-Q2,1,2420.19
S12,2024-Q3,1,318.92
S12,2024-Q4,2,928.46
S12,2025-Q1,6,6433.32
S12,2025-Q2,2,3513.65
S12,2025-Q3,1,1143.98
S12,2025-Q4,2,2684.59
