week_start,units_tested,units_failed,p,centre,ucl,lcl,beyond_limits,run_rule,phase
2024-01-01,439,9,0.0205,0.0272,0.05049,0.00391,False,False,Baseline
2024-01-08,406,10,0.02463,0.0272,0.05141,0.00298,False,False,Baseline
2024-01-15,420,20,0.04762,0.0272,0.05101,0.00339,False,False,Baseline
2024-01-22,439,19,0.04328,0.0272,0.05049,0.00391,False,False,Baseline
2024-01-29,402,11,0.02736,0.0272,0.05154,0.00286,False,False,Baseline
2024-02-05,370,9,0.02432,0.0272,0.05257,0.00183,False,False,Baseline
2024-02-12,418,11,0.02632,0.0272,0.05106,0.00333,False,False,Baseline
2024-02-19,421,8,0.019,0.0272,0.05098,0.00341,False,False,Baseline
2024-02-26,432,10,0.02315,0.0272,0.05067,0.00372,False,False,Baseline
2024-03-04,396,14,0.03535,0.0272,0.05172,0.00268,False,False,Baseline
2024-03-11,420,12,0.02857,0.0272,0.05101,0.00339,False,False,Baseline
2024-03-18,435,11,0.02529,0.0272,0.05059,0.0038,False,False,Baseline
2024-03-25,420,9,0.02143,0.0272,0.05101,0.00339,False,False,Baseline
2024-04-01,426,10,0.02347,0.0272,0.05084,0.00355,False,False,Baseline
2024-04-08,409,13,0.03178,0.0272,0.05133,0.00307,False,False,Baseline
2024-04-15,413,11,0.02663,0.0272,0.05121,0.00319,False,False,Baseline
2024-04-22,426,12,0.02817,0.0272,0.05084,0.00355,False,False,Baseline
2024-04-29,396,8,0.0202,0.0272,0.05172,0.00268,False,False,Baseline
2024-05-06,414,17,0.04106,0.0272,0.05118,0.00321,False,False,Baseline
2024-05-13,402,8,0.0199,0.0272,0.05154,0.00286,False,False,Baseline
2024-05-20,447,8,0.0179,0.0272,0.05028,0.00412,False,False,Baseline
2024-05-27,452,8,0.0177,0.0272,0.05015,0.00424,False,False,Baseline
2024-06-03,423,14,0.0331,0.0272,0.05092,0.00347,False,False,Baseline
2024-06-10,428,10,0.02336,0.0272,0.05078,0.00361,False,False,Baseline
